fold_index,train_rows,test_rows,log_loss,accuracy,test_start_date,test_end_date
53,2000,300,1.0728831321933205,0.4666666666666667,2023-12-15,2023-12-23
54,2000,300,1.1115931587389936,0.44666666666666666,2023-12-23,2024-01-06
55,2000,300,1.0760769975440045,0.49,2024-01-06,2024-01-21
56,2000,300,1.1222000882161036,0.4033333333333333,2024-01-21,2024-02-03
57,2000,300,1.1011449998312968,0.46,2024-02-03,2024-02-11
58,2000,300,1.1437300245119408,0.41333333333333333,2024-02-11,2024-02-20
59,2000,300,1.1429645502030599,0.4533333333333333,2024-02-20,2024-03-02
60,2000,300,1.085909685569758,0.44333333333333336,2024-03-02,2024-03-10
61,2000,300,1.07340486535701,0.48,2024-03-10,2024-03-29
62,2000,300,1.0901964463288918,0.4266666666666667,2024-03-29,2024-04-06
63,2000,300,1.1323599756134006,0.4166666666666667,2024-04-06,2024-04-14
64,2000,300,1.0495099303524842,0.49666666666666665,2024-04-14,2024-04-27
65,2000,300,1.0840996051499594,0.4633333333333333,2024-04-27,2024-05-10
66,2000,300,1.0254390311516257,0.5066666666666667,2024-05-10,2024-05-26
67,2000,300,1.1141196629595118,0.43666666666666665,2024-05-26,2024-08-20
68,2000,300,1.1197204695039753,0.41,2024-08-20,2024-08-31
69,2000,300,1.1183080080764585,0.4066666666666667,2024-08-31,2024-09-15
70,2000,300,1.0946763568141762,0.44,2024-09-15,2024-09-28
71,2000,300,1.0592009892332086,0.45,2024-09-28,2024-10-05
72,2000,300,1.08203224871316,0.44333333333333336,2024-10-05,2024-10-22
73,2000,300,1.084627775091134,0.4666666666666667,2024-10-22,2024-11-02
74,2000,300,1.0821210333773406,0.48,2024-11-02,2024-11-10
75,2000,300,1.0706001458968908,0.43333333333333335,2024-11-10,2024-11-30
76,2000,300,1.037480582902242,0.51,2024-11-30,2024-12-08
77,2000,300,1.074876680126578,0.45666666666666667,2024-12-09,2024-12-21
78,2000,300,1.1429108904360268,0.41333333333333333,2024-12-21,2025-01-01
79,2000,300,1.1434670073804964,0.42,2025-01-01,2025-01-18
80,2000,300,1.108126419550414,0.46,2025-01-18,2025-01-26
81,2000,300,1.1093613002696265,0.48,2025-01-26,2025-02-08
82,2000,300,1.0840498516679793,0.46,2025-02-08,2025-02-16
83,2000,300,1.0990729868442946,0.4533333333333333,2025-02-16,2025-03-01
84,2000,300,1.1133470336753681,0.45666666666666667,2025-03-01,2025-03-08
85,2000,300,1.1539282874420238,0.44,2025-03-08,2025-03-22
86,2000,300,1.1025854766127243,0.5,2025-03-22,2025-04-05
87,2000,300,1.0948756216858087,0.4533333333333333,2025-04-05,2025-04-13
88,2000,300,1.118750547071199,0.44,2025-04-13,2025-04-25
89,2000,300,1.0789793033159734,0.4666666666666667,2025-04-25,2025-05-04
90,2000,300,1.0594191329750349,0.47,2025-05-04,2025-05-18
91,2000,300,1.0936154960310265,0.4766666666666667,2025-05-18,2025-08-16
92,2000,300,1.1338097091711157,0.46,2025-08-16,2025-08-30
93,2000,300,1.129636641024845,0.4,2025-08-30,2025-09-13
94,2000,300,1.1168329841685405,0.43333333333333335,2025-09-13,2025-09-23
95,2000,300,1.1455597722968036,0.38333333333333336,2025-09-23,2025-10-04
96,2000,300,1.1372624315915636,0.4166666666666667,2025-10-04,2025-10-18
97,2000,300,1.128915235458978,0.4033333333333333,2025-10-18,2025-10-29
98,2000,300,1.0493266576523392,0.4766666666666667,2025-10-29,2025-11-08
99,2000,300,1.0711585890772384,0.5033333333333333,2025-11-08,2025-11-25
100,2000,300,1.1025095548986206,0.48,2025-11-25,2025-12-07
101,2000,300,1.094521109212405,0.43666666666666665,2025-12-07,2025-12-20
102,2000,300,1.0896171836665707,0.44,2025-12-20,2025-12-30
103,2000,300,1.0850455049136816,0.4266666666666667,2025-12-30,2026-01-17
104,2000,300,1.084098236082931,0.46,2026-01-17,2026-01-25
105,2000,300,1.078928044746929,0.45,2026-01-25,2026-02-07
106,2000,300,1.049258832454107,0.4666666666666667,2026-02-07,2026-02-15
107,2000,300,1.1775380347115136,0.4066666666666667,2026-02-15,2026-02-25
