fold_index,train_rows,test_rows,log_loss,accuracy,test_start_date,test_end_date
32,2000,300,1.0496143336673298,0.4666666666666667,2023-02-03,2023-02-12
33,2000,300,1.0344738958121062,0.4633333333333333,2023-02-12,2023-02-21
34,2000,300,1.0496056604633845,0.45666666666666667,2023-02-21,2023-03-04
35,2000,300,1.030779024421408,0.4866666666666667,2023-03-04,2023-03-12
36,2000,300,1.0703179397326918,0.42,2023-03-12,2023-03-31
37,2000,300,1.0513968917429255,0.44666666666666666,2023-04-01,2023-04-08
38,2000,300,1.033785565413995,0.49333333333333335,2023-04-08,2023-04-17
39,2000,300,1.065854415317226,0.44333333333333336,2023-04-17,2023-04-29
40,2000,300,1.0061265184655186,0.52,2023-04-29,2023-05-08
41,2000,300,1.0348545321283378,0.48,2023-05-08,2023-05-26
42,2000,300,1.0399499260811242,0.48,2023-05-26,2023-08-12
43,2000,300,1.070487211889236,0.4633333333333333,2023-08-12,2023-08-26
44,2000,300,1.0649324533184843,0.4633333333333333,2023-08-26,2023-09-03
45,2000,300,1.0761710243262106,0.43,2023-09-03,2023-09-22
46,2000,300,1.0526620470438481,0.44333333333333336,2023-09-22,2023-09-30
47,2000,300,1.0457370517790063,0.4866666666666667,2023-09-30,2023-10-07
48,2000,300,1.0382750893710377,0.47,2023-10-07,2023-10-24
49,2000,300,1.0253356374758524,0.51,2023-10-24,2023-11-04
50,2000,300,1.0379395401123297,0.4766666666666667,2023-11-04,2023-11-18
51,2000,300,1.046866311493028,0.49,2023-11-18,2023-12-02
52,2000,300,1.0502093775763162,0.44666666666666666,2023-12-02,2023-12-15
53,2000,300,1.061304184786992,0.47,2023-12-15,2023-12-23
54,2000,300,1.0286841553339867,0.4866666666666667,2023-12-23,2024-01-06
55,2000,300,1.0504622728836643,0.46,2024-01-06,2024-01-21
56,2000,300,1.0908473544099866,0.4066666666666667,2024-01-21,2024-02-03
57,2000,300,1.0552251363811584,0.45666666666666667,2024-02-03,2024-02-11
58,2000,300,1.0764411016009656,0.43,2024-02-11,2024-02-20
59,2000,300,1.070939603702325,0.43333333333333335,2024-02-20,2024-03-02
60,2000,300,1.0426683143717046,0.46,2024-03-02,2024-03-10
61,2000,300,1.0333277327700667,0.4766666666666667,2024-03-10,2024-03-29
62,2000,300,1.0619948882750059,0.4166666666666667,2024-03-29,2024-04-06
63,2000,300,1.0746215830430068,0.42333333333333334,2024-04-06,2024-04-14
64,2000,300,1.0409461845307537,0.47333333333333333,2024-04-14,2024-04-27
65,2000,300,1.046659201464645,0.46,2024-04-27,2024-05-10
66,2000,300,1.0179945331468856,0.5266666666666666,2024-05-10,2024-05-26
67,2000,300,1.0605774732510382,0.44666666666666666,2024-05-26,2024-08-20
68,2000,300,1.061788226295657,0.43333333333333335,2024-08-20,2024-08-31
69,2000,300,1.0609318766642397,0.43666666666666665,2024-08-31,2024-09-15
70,2000,300,1.0523755339995258,0.4266666666666667,2024-09-15,2024-09-28
71,2000,300,1.038532527483438,0.5033333333333333,2024-09-28,2024-10-05
72,2000,300,1.059808737927156,0.4533333333333333,2024-10-05,2024-10-22
73,2000,300,1.0479874928704416,0.47333333333333333,2024-10-22,2024-11-02
74,2000,300,1.0361214255802318,0.5066666666666667,2024-11-02,2024-11-10
75,2000,300,1.0444018497099523,0.47333333333333333,2024-11-10,2024-11-30
76,2000,300,1.0276413880306503,0.5166666666666667,2024-11-30,2024-12-08
77,2000,300,1.0359554418481653,0.4866666666666667,2024-12-09,2024-12-21
78,2000,300,1.063839405180865,0.4166666666666667,2024-12-21,2025-01-01
79,2000,300,1.0887338888895997,0.4066666666666667,2025-01-01,2025-01-18
80,2000,300,1.0428025979940767,0.4766666666666667,2025-01-18,2025-01-26
81,2000,300,1.043609554323898,0.47,2025-01-26,2025-02-08
82,2000,300,1.0469810007749834,0.46,2025-02-08,2025-02-16
83,2000,300,1.0474225476298897,0.44333333333333336,2025-02-16,2025-03-01
84,2000,300,1.0602153257854503,0.48,2025-03-01,2025-03-08
85,2000,300,1.0655978333049514,0.4633333333333333,2025-03-08,2025-03-22
86,2000,300,1.0234489820373343,0.51,2025-03-22,2025-04-05
87,2000,300,1.0596134714206598,0.43666666666666665,2025-04-05,2025-04-13
88,2000,300,1.0670416178359505,0.44666666666666666,2025-04-13,2025-04-25
89,2000,300,1.040462213571307,0.47333333333333333,2025-04-25,2025-05-04
90,2000,300,1.0383717952001064,0.46,2025-05-04,2025-05-18
91,2000,300,1.0305326984887384,0.5,2025-05-18,2025-08-16
92,2000,300,1.0633183162910154,0.44,2025-08-16,2025-08-30
93,2000,300,1.0794607261563782,0.4166666666666667,2025-08-30,2025-09-13
94,2000,300,1.074481139357897,0.42333333333333334,2025-09-13,2025-09-23
95,2000,300,1.102561286228026,0.36333333333333334,2025-09-23,2025-10-04
96,2000,300,1.068906277041914,0.42333333333333334,2025-10-04,2025-10-18
97,2000,300,1.066289546714423,0.44333333333333336,2025-10-18,2025-10-29
98,2000,300,1.0268890949255107,0.5166666666666667,2025-10-29,2025-11-08
99,2000,300,1.0474232825793088,0.4666666666666667,2025-11-08,2025-11-25
100,2000,300,1.0413389733698,0.4766666666666667,2025-11-25,2025-12-07
101,2000,300,1.0686720368828646,0.43333333333333335,2025-12-07,2025-12-20
102,2000,300,1.0572744240079257,0.45,2025-12-20,2025-12-30
103,2000,300,1.0559077902941827,0.4766666666666667,2025-12-30,2026-01-17
104,2000,300,1.0409396654233123,0.46,2026-01-17,2026-01-25
105,2000,300,1.0457069055229624,0.47,2026-01-25,2026-02-07
106,2000,300,1.0261174948311642,0.4866666666666667,2026-02-07,2026-02-15
107,2000,300,1.0643968419850631,0.4533333333333333,2026-02-15,2026-02-25
