fold_index,train_rows,test_rows,log_loss,accuracy,test_start_date,test_end_date
74,1000,300,1.0508268869877058,0.45666666666666667,2024-09-22,2024-10-05
75,1000,300,1.048072451661609,0.4666666666666667,2024-10-05,2024-10-19
76,1000,300,1.0277900384911856,0.49,2024-10-19,2024-10-27
77,1000,300,1.0577566355366967,0.44666666666666666,2024-10-27,2024-11-09
78,1000,300,1.0499589617185454,0.45666666666666667,2024-11-09,2024-11-24
79,1000,300,1.026351930496488,0.4866666666666667,2024-11-24,2024-12-07
80,1000,300,1.0573553037655932,0.45,2024-12-07,2024-12-15
81,1000,300,1.0567420619059926,0.4633333333333333,2024-12-16,2024-12-29
82,1000,300,1.1005708604186275,0.39,2024-12-29,2025-01-12
83,1000,300,1.0670468196008167,0.45,2025-01-12,2025-01-25
84,1000,300,1.0605317211160195,0.47333333333333333,2025-01-25,2025-02-02
85,1000,300,1.0508047223642965,0.5066666666666667,2025-02-02,2025-02-15
86,1000,300,1.088713410677753,0.41,2025-02-15,2025-02-23
87,1000,300,1.0321993443614808,0.48333333333333334,2025-02-23,2025-03-07
88,1000,300,1.0897178124894984,0.44,2025-03-07,2025-03-15
89,1000,300,1.042032835154306,0.5,2025-03-15,2025-03-30
90,1000,300,1.0907099181849094,0.45666666666666667,2025-03-30,2025-04-12
91,1000,300,1.053097383283518,0.47,2025-04-12,2025-04-21
92,1000,300,1.0260559358029162,0.4666666666666667,2025-04-21,2025-05-03
93,1000,300,1.0855852655686704,0.44666666666666666,2025-05-03,2025-05-13
94,1000,300,1.030886015414903,0.51,2025-05-14,2025-08-09
95,1000,300,1.067721373950874,0.48333333333333334,2025-08-09,2025-08-23
96,1000,300,1.1093500910254035,0.4266666666666667,2025-08-23,2025-09-06
97,1000,300,1.0675502456895285,0.44666666666666666,2025-09-06,2025-09-20
98,1000,300,1.0707323717781103,0.44333333333333336,2025-09-20,2025-09-28
99,1000,300,1.1045675520197176,0.4033333333333333,2025-09-28,2025-10-18
100,1000,300,1.0600640172905245,0.44333333333333336,2025-10-18,2025-10-25
101,1000,300,1.0181947987309945,0.5033333333333333,2025-10-25,2025-11-07
102,1000,300,1.034881717674905,0.4666666666666667,2025-11-07,2025-11-22
103,1000,300,1.051714130884809,0.5066666666666667,2025-11-22,2025-12-03
104,1000,300,1.1028191902410998,0.4266666666666667,2025-12-03,2025-12-13
105,1000,300,1.033988772367357,0.4633333333333333,2025-12-13,2025-12-27
106,1000,300,1.064159496646988,0.47333333333333333,2025-12-27,2026-01-10
107,1000,300,1.048397257440517,0.4866666666666667,2026-01-10,2026-01-24
108,1000,300,1.0306445434654912,0.48333333333333334,2026-01-24,2026-02-01
109,1000,300,1.0265011463430604,0.48333333333333334,2026-02-01,2026-02-13
110,1000,300,1.0847567533436828,0.41333333333333333,2026-02-13,2026-02-21
