fold_index,train_rows,test_rows,log_loss,accuracy,test_start_date,test_end_date
31,2000,300,1.0789013040044773,0.4066666666666667,2023-01-22,2023-02-03
32,2000,300,1.0784893615476967,0.43,2023-02-03,2023-02-12
33,2000,300,1.0554147068607946,0.48,2023-02-12,2023-02-21
34,2000,300,1.0731574469048593,0.43333333333333335,2023-02-21,2023-03-04
35,2000,300,1.0525904947244717,0.48,2023-03-04,2023-03-12
36,2000,300,1.084523969395197,0.4066666666666667,2023-03-12,2023-03-31
37,2000,300,1.0743053474482769,0.42,2023-04-01,2023-04-08
38,2000,300,1.0629901961834267,0.4766666666666667,2023-04-08,2023-04-17
39,2000,300,1.0862329666709611,0.4066666666666667,2023-04-17,2023-04-29
40,2000,300,1.0323625706873885,0.5166666666666667,2023-04-29,2023-05-08
41,2000,300,1.0537475131268617,0.4633333333333333,2023-05-08,2023-05-26
42,2000,300,1.046178224280893,0.48333333333333334,2023-05-26,2023-08-12
43,2000,300,1.0899002207239574,0.44,2023-08-12,2023-08-26
44,2000,300,1.0715955860777904,0.44666666666666666,2023-08-26,2023-09-03
45,2000,300,1.0904616431523855,0.39666666666666667,2023-09-03,2023-09-22
46,2000,300,1.0723245244011879,0.42,2023-09-22,2023-09-30
47,2000,300,1.0704588815563825,0.44,2023-09-30,2023-10-07
48,2000,300,1.073706262925254,0.45,2023-10-07,2023-10-24
49,2000,300,1.0596307040596582,0.44666666666666666,2023-10-24,2023-11-04
50,2000,300,1.0693174008752733,0.4666666666666667,2023-11-04,2023-11-18
51,2000,300,1.0616542233455273,0.4633333333333333,2023-11-18,2023-12-02
52,2000,300,1.0685533064298594,0.44666666666666666,2023-12-02,2023-12-15
53,2000,300,1.0944751582758,0.41,2023-12-15,2023-12-23
54,2000,300,1.047788783198806,0.49,2023-12-23,2024-01-06
55,2000,300,1.081939926912992,0.4066666666666667,2024-01-06,2024-01-21
56,2000,300,1.0965090701404165,0.38333333333333336,2024-01-21,2024-02-03
57,2000,300,1.083514875775864,0.4166666666666667,2024-02-03,2024-02-11
58,2000,300,1.0800534145593697,0.4033333333333333,2024-02-11,2024-02-20
59,2000,300,1.0835274859976864,0.41,2024-02-20,2024-03-02
60,2000,300,1.059425861223268,0.45,2024-03-02,2024-03-10
61,2000,300,1.0579186557622469,0.4633333333333333,2024-03-10,2024-03-29
62,2000,300,1.0817745918524175,0.39666666666666667,2024-03-29,2024-04-06
63,2000,300,1.0836471360942852,0.41333333333333333,2024-04-06,2024-04-14
64,2000,300,1.0793050639398984,0.4,2024-04-14,2024-04-27
