fold_index,train_rows,test_rows,log_loss,accuracy,test_start_date,test_end_date
32,2000,300,1.0481668934408166,0.4666666666666667,2023-02-03,2023-02-12
33,2000,300,1.0375726875825513,0.4633333333333333,2023-02-12,2023-02-21
34,2000,300,1.0487832502953494,0.46,2023-02-21,2023-03-04
35,2000,300,1.0316866314280433,0.4866666666666667,2023-03-04,2023-03-12
36,2000,300,1.0679109885639781,0.41333333333333333,2023-03-12,2023-03-31
37,2000,300,1.0543040497306495,0.45,2023-04-01,2023-04-08
38,2000,300,1.0345461646052347,0.49666666666666665,2023-04-08,2023-04-17
39,2000,300,1.071562507033524,0.44666666666666666,2023-04-17,2023-04-29
40,2000,300,1.0079932377106844,0.5233333333333333,2023-04-29,2023-05-08
41,2000,300,1.0326705192551784,0.4766666666666667,2023-05-08,2023-05-26
42,2000,300,1.046969662233337,0.4766666666666667,2023-05-26,2023-08-12
43,2000,300,1.0697721589212124,0.4633333333333333,2023-08-12,2023-08-26
44,2000,300,1.065498053655904,0.4633333333333333,2023-08-26,2023-09-03
45,2000,300,1.071186795545896,0.43,2023-09-03,2023-09-22
46,2000,300,1.0539111420272442,0.44333333333333336,2023-09-22,2023-09-30
47,2000,300,1.047338030466313,0.4866666666666667,2023-09-30,2023-10-07
48,2000,300,1.0384685337455335,0.47,2023-10-07,2023-10-24
49,2000,300,1.0293771429280336,0.5066666666666667,2023-10-24,2023-11-04
50,2000,300,1.0363498687701302,0.4766666666666667,2023-11-04,2023-11-18
51,2000,300,1.0458191669485268,0.49,2023-11-18,2023-12-02
52,2000,300,1.0514856284353948,0.44666666666666666,2023-12-02,2023-12-15
53,2000,300,1.0547370421652569,0.47,2023-12-15,2023-12-23
54,2000,300,1.0304442128341789,0.4866666666666667,2023-12-23,2024-01-06
55,2000,300,1.0517026585040261,0.46,2024-01-06,2024-01-21
56,2000,300,1.0821289846673152,0.4066666666666667,2024-01-21,2024-02-03
57,2000,300,1.0555698492600298,0.45666666666666667,2024-02-03,2024-02-11
58,2000,300,1.0753604935827623,0.43,2024-02-11,2024-02-20
59,2000,300,1.071294402710865,0.43333333333333335,2024-02-20,2024-03-02
60,2000,300,1.0428822797162927,0.46,2024-03-02,2024-03-10
61,2000,300,1.0373338435868626,0.4766666666666667,2024-03-10,2024-03-29
62,2000,300,1.0601295319020847,0.4166666666666667,2024-03-29,2024-04-06
63,2000,300,1.0714012979311835,0.42333333333333334,2024-04-06,2024-04-14
64,2000,300,1.0432258697615109,0.47333333333333333,2024-04-14,2024-04-27
65,2000,300,1.0462640745257514,0.46,2024-04-27,2024-05-10
66,2000,300,1.0203868412558181,0.5266666666666666,2024-05-10,2024-05-26
67,2000,300,1.060031719649082,0.44666666666666666,2024-05-26,2024-08-20
68,2000,300,1.0610693993469953,0.43333333333333335,2024-08-20,2024-08-31
69,2000,300,1.059715185149057,0.43666666666666665,2024-08-31,2024-09-15
70,2000,300,1.0523554171385467,0.4266666666666667,2024-09-15,2024-09-28
71,2000,300,1.03804049538795,0.5033333333333333,2024-09-28,2024-10-05
72,2000,300,1.0565060607758825,0.4533333333333333,2024-10-05,2024-10-22
73,2000,300,1.0469177504085427,0.47333333333333333,2024-10-22,2024-11-02
74,2000,300,1.037512972259737,0.51,2024-11-02,2024-11-10
75,2000,300,1.0396327306679765,0.47333333333333333,2024-11-10,2024-11-30
76,2000,300,1.0249681159060908,0.5166666666666667,2024-11-30,2024-12-08
77,2000,300,1.0343587789651902,0.4866666666666667,2024-12-09,2024-12-21
78,2000,300,1.062408783693661,0.4166666666666667,2024-12-21,2025-01-01
79,2000,300,1.0829694565657897,0.4066666666666667,2025-01-01,2025-01-18
80,2000,300,1.0458720780177833,0.4766666666666667,2025-01-18,2025-01-26
81,2000,300,1.050144725429127,0.47,2025-01-26,2025-02-08
82,2000,300,1.0452386461430891,0.46,2025-02-08,2025-02-16
83,2000,300,1.0491652767810715,0.44333333333333336,2025-02-16,2025-03-01
84,2000,300,1.0572215352447751,0.48,2025-03-01,2025-03-08
85,2000,300,1.0688559941140139,0.46,2025-03-08,2025-03-22
86,2000,300,1.0290070116558352,0.5133333333333333,2025-03-22,2025-04-05
87,2000,300,1.0617465197270644,0.43666666666666665,2025-04-05,2025-04-13
88,2000,300,1.064855738054806,0.44666666666666666,2025-04-13,2025-04-25
89,2000,300,1.0416283026359983,0.47333333333333333,2025-04-25,2025-05-04
90,2000,300,1.0403355676572306,0.46,2025-05-04,2025-05-18
91,2000,300,1.0373679714845419,0.5,2025-05-18,2025-08-16
92,2000,300,1.0652607004477552,0.44,2025-08-16,2025-08-30
93,2000,300,1.0772474508667838,0.4166666666666667,2025-08-30,2025-09-13
94,2000,300,1.0776640945347424,0.42333333333333334,2025-09-13,2025-09-23
95,2000,300,1.0975887311517512,0.36333333333333334,2025-09-23,2025-10-04
96,2000,300,1.0681015357310477,0.42333333333333334,2025-10-04,2025-10-18
97,2000,300,1.0663270174634032,0.44333333333333336,2025-10-18,2025-10-29
98,2000,300,1.0288742404051647,0.5166666666666667,2025-10-29,2025-11-08
99,2000,300,1.0481542179912002,0.4666666666666667,2025-11-08,2025-11-25
100,2000,300,1.0458295728536946,0.4766666666666667,2025-11-25,2025-12-07
101,2000,300,1.0656405497118313,0.43333333333333335,2025-12-07,2025-12-20
102,2000,300,1.0561333509737658,0.45,2025-12-20,2025-12-30
103,2000,300,1.0527413324497539,0.4766666666666667,2025-12-30,2026-01-17
104,2000,300,1.043688259631363,0.46,2026-01-17,2026-01-25
105,2000,300,1.0457753971329657,0.47,2026-01-25,2026-02-07
106,2000,300,1.0277631802676748,0.4866666666666667,2026-02-07,2026-02-15
107,2000,300,1.065394230512272,0.4533333333333333,2026-02-15,2026-02-25
